REGION;CIUDAD;NOMBRE;DIRECCION;HORARIO;OFICINA;MAPA
Región de Arica y Parinacota;Arica;Centro;21 de Mayo 442;Lunes a viernes de 09:00 a 14:00 hrs. y de 15:30 a 19:00 hrs.;Oficina;-18.4794306,-70.31777794999999
Región de Tarapacá;Iquique;Centro;Tarapacá 441;Lunes a viernes de 09:00 a 18:00 hrs.;Oficina;-20.2138156,-70.1508705
Región de Tarapacá;Iquique;Mall Las Américas;Héroes de la Concepción 2555 Local 13-14-174b-176-178;Lunes a viernes de 09:00 a 14:00 hrs. y de 15:30 a 20:00 hrs. Sábado, domingo y festivos de 11:00 a 14:00 hrs. y de 15:00 a 19:00 hrs.;Oficina;-20.2316643,-70.1417316
Región de Antofagasta;Antofagasta;Centro;Arturo Prat 580;Lunes a viernes de 09:00 a 14:00 hrs. y de 15:30 a 19:00 hrs.;Oficina;-23.648613,-70.3967
Región de Antofagasta;Antofagasta;Mall Plaza;Balmaceda 2355 Local 2B-3B;Lunes a viernes de 09:00 a 14:00 hrs. y de 15:30 a 20:00 hrs. Sábado, domingo y festivos de 11:00 a 14:00 hrs. y de 15:00 a 19:00 hrs.;Oficina;-23.6464869,-70.4009009
Región de Antofagasta;Calama;Centro;Almirante Juan José La Torre 1852;Lunes a viernes de 09:00 a 14:00 hrs. y de 15:30 a 19:00 hrs.;Oficina;-22.4622124,-68.9257407
Región de Antofagasta;Calama;Mall;Balmaceda 3242 Local T112-T116;Lunes a viernes de 09:00 a 14:00 hrs. y de 15:30 a 20:00 hrs. Sábado, domingo y festivos de 11:00 a 20:00 hrs.;Oficina;-22.4494937,-68.9206109
Región de Atacama;Copiapó;Centro;Colipi  484 Local H-105;Lunes a viernes de 09:00 a 14:00 hrs. y de 15:30 a 20:00 hrs.;Oficina;-27.3665639,-70.331303
Región de Atacama;Copiapó;Mall Plaza Copiapó;Maipú 110;Lunes a viernes de 09:00 a 14:00 hrs. y de 15:30 a 20:00 hrs. Sábado, domingo y festivos de 11:00 a 14:00 hrs. y de 15:00 a 20:00 hrs.;Oficina;-27.369444309580224,-70.3368847730469
Región de Coquimbo;La Serena;Mall Plaza;Alberto Solari 1400 Local 166-A;Lunes a viernes de 09:00 a 14:00 hrs. y de 15:30 a 20:00 hrs. Sábado, domingo y festivos de 11:00 a 19:00 hrs.;Oficina;-29.9119088,-71.2585325
Región de Coquimbo;La Serena;Centro;Av. Libertador Bernardo O'Higgins 451;Lunes a viernes de 09:00 a 14:00 hrs. y de 15:30 a 19:00 hrs.;Oficina;-29.9025352,-71.2485292
Región de Coquimbo;Coquimbo;;Borgoño 409;Lunes a viernes de 09:00 a 14:00 hrs. y de 15:30 a 19:00 hrs.;Oficina;-29.9547308,-71.3388204
